location,pid,video,order,age,gender,race,experience,arousal,presence,valence,sickness,preference,exploration
Lab1,5,Pond,1,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,2,2.6666666666666665,7,1,2.5,0.8944241666666666
Lab1,5,Baboon1,2,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,5,3.6666666666666665,9,1,5,0.48320444444444427
Lab1,5,Concert1,3,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,3,2,5,1,1.5,0.48453836111111126
Lab1,5,Rapunzel,4,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,5,3,3,1,1,0.4024280555555557
Lab1,5,Chickens,5,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,3,3,6,1,2,1
Lab1,6,Waterfall3,1,19-25,Female,Chinese,TRUE,5,3.6666666666666665,7,1,3.5,0.9329998999999999
Lab1,6,Rocks,2,19-25,Female,Chinese,TRUE,3,3.3333333333333335,7,1,3,0.8228508333333332
Lab1,6,Forest,3,19-25,Female,Chinese,TRUE,5,4,6,1.5,1.5,0.7769808055555555
Lab1,6,Bees,4,19-25,Female,Chinese,TRUE,7,3.6666666666666665,7,1,4.5,0.5573311111111112
Lab1,6,March,5,19-25,Female,Chinese,TRUE,7,4,7,1.5,2.5,1
Lab1,7,Baboon1,1,19-25,Female,Korean,TRUE,5,2.6666666666666665,6,1,2.5,0.9680646666666667
Lab1,7,HotelBalcony,2,19-25,Female,Korean,TRUE,5,2.3333333333333335,4,1,1,0.7359094444444447
Lab1,7,Lobby,3,19-25,Female,Korean,TRUE,3,2.3333333333333335,5,1,1,0.9035013055555554
Lab1,7,Rocks,4,19-25,Female,Korean,TRUE,2,2,4,1,1,0.787225
Lab1,7,Concert2,5,19-25,Female,Korean,TRUE,4,2,5,1,1,0.7368574999999999
Lab1,9,Deer,1,19-25,Female,Korean,TRUE,6,3.3333333333333335,4,1.5,2,0.8887341666666666
Lab1,9,Protest,2,19-25,Female,Korean,TRUE,8,3,7,1,3,0.7722532222222219
Lab1,9,Sharks,3,19-25,Female,Korean,TRUE,3,3,7,1.5,2,0.7502060277777776
Lab1,9,Sunset,4,19-25,Female,Korean,TRUE,5,4,8,1,3,1
Lab1,9,Zoo1,5,19-25,Female,Korean,TRUE,6,3.3333333333333335,7,1,2.5,0.5915903888888889
Lab1,11,Sharks,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,2.6666666666666665,7,1,2.5,1
Lab1,11,Cheetah,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,4,8,1,4,0.8619162222222221
Lab1,11,Rhino3,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4,8,1,4,1
Lab1,11,Horse2,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,3,4,8,1,3.5,0.975149722222222
Lab1,11,Elephant3,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4.333333333333333,9,1,5,0.8927468277777777
Lab1,12,Monkey2,1,19-25,Female,Korean,TRUE,5,3.3333333333333335,7,1,4,0.8131763972222221
Lab1,12,Elephant1,2,19-25,Female,Korean,TRUE,7,3,7,1,4,0.8878783055555554
Lab1,12,Elephant3,3,19-25,Female,Korean,TRUE,7,3,7,1,4,0.5237936111111111
Lab1,12,Monkey1,4,19-25,Female,Korean,TRUE,7,3,7,1,4,0.773486
Lab1,12,Protest,5,19-25,Female,Korean,TRUE,2,3,2,1,1,0.7999777222222222
Lab1,13,Zoo1,1,19-25,Male,More than one race,TRUE,4,3.3333333333333335,6,1,3.5,0.7325835833333331
Lab1,13,Rapunzel,2,19-25,Male,More than one race,TRUE,3,3.3333333333333335,6,1.5,2.5,0.4140381111111113
Lab1,13,Canyon,3,19-25,Male,More than one race,TRUE,6,3.6666666666666665,7,1,4,0.7610089527777779
Lab1,13,Giraffe2,4,19-25,Male,More than one race,TRUE,6,3.6666666666666665,7,1,4,0.7098473055555555
Lab1,13,Meeting,5,19-25,Male,More than one race,TRUE,4,2.6666666666666665,5,1,2.5,0.36369222222222225
Lab1,14,Lobby,1,19-25,Male,More than one race,TRUE,3,3.3333333333333335,6,1.5,2,0.7675070833333335
Lab1,14,Rapunzel,2,19-25,Male,More than one race,TRUE,5,2.3333333333333335,3,1,1.5,0.32927658333333326
Lab1,14,Lioness1,3,19-25,Male,More than one race,TRUE,8,3.6666666666666665,8,1,4,0.5904850277777777
Lab1,14,Horse2,4,19-25,Male,More than one race,TRUE,5,3,5,1,2,1
Lab1,14,March,5,19-25,Male,More than one race,TRUE,6,4,7,1,3,0.68768725
Lab1,16,Horse2,1,19-25,Female,"African American, Black",TRUE,2,3.3333333333333335,5,1.5,1.5,0.8191931388888888
Lab1,16,Elephant4,2,19-25,Female,"African American, Black",TRUE,5,4,4,1,2.5,0.8666544444444446
Lab1,16,Baboon3,3,19-25,Female,"African American, Black",TRUE,6,4,3,1,2.5,0.17002777777777772
Lab1,16,Hyena2,4,19-25,Female,"African American, Black",TRUE,5,3,3,1,3,0.11936750000000006
Lab1,16,Cows,5,19-25,Female,"African American, Black",TRUE,2,4,7,1,4.5,0.8058976388888889
Lab1,18,Cheetah,1,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,7,4,7,1,4,0.22936722222222206
Lab1,18,Waterfall2,2,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,2,4.333333333333333,7,1,4,0.3344538888888887
Lab1,18,Baboon3,3,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,6,4,6,1,4,0.4687983333333332
Lab1,18,Baboon1,4,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,7,4,7,1,4,0.6572814166666667
Lab1,18,Elephant1,5,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,8,4,8,1,4.5,0.5426548611111112
Lab1,19,Giraffe2,1,19-25,Male,Mexican,TRUE,8,4.333333333333333,9,1,4.5,0.06601805555555541
Lab1,19,Giraffe1,2,19-25,Male,Mexican,TRUE,7,4.666666666666667,8,1,4.5,0.7941580555555554
Lab1,19,Waterfall2,3,19-25,Male,Mexican,TRUE,2,3.3333333333333335,9,1,2,0.8586404166666667
Lab1,19,Rhino1,4,19-25,Male,Mexican,TRUE,8,4.666666666666667,9,1,4,0.2557816666666667
Lab1,19,HotelBalcony,5,19-25,Male,Mexican,TRUE,9,5,5,1.5,4,0.6502643888888889
Lab1,20,Rapunzel,1,19-,Female,"African American, Black",TRUE,5,3.3333333333333335,6,1,3,0.758859
Lab1,20,Chickens,2,19-,Female,"African American, Black",TRUE,5,4,5,1,3.5,1
Lab1,20,Dancing,3,19-,Female,"African American, Black",TRUE,6,4.333333333333333,7,1,5,1
Lab1,20,Horse2,4,19-,Female,"African American, Black",TRUE,5,4.333333333333333,7,1,5,1
Lab1,20,Leopard,5,19-,Female,"African American, Black",TRUE,6,4.333333333333333,6,1,5,1
Lab1,21,Canyon,1,19-25,Female,Chinese,TRUE,5,2,6,1,1.5,0.9561287722222223
Lab1,21,Birds,2,19-25,Female,Chinese,TRUE,6,2,7,1,4,0.8490207305555555
Lab1,21,Rapunzel,3,19-25,Female,Chinese,TRUE,7,3,8,1,4,0.8920857499999999
Lab1,21,Skyline,4,19-25,Female,Chinese,TRUE,6,4,6,1,2.5,0.8165706944444445
Lab1,21,Teacher,5,19-25,Female,Chinese,TRUE,7,4,5,1,3.5,0.8853636944444446
Lab1,22,Baboon3,1,19-25,Female,Chinese,TRUE,6,3.3333333333333335,7,1,3.5,0.6631238888888888
Lab1,22,Street2,2,19-25,Female,Chinese,TRUE,6,3.3333333333333335,5,1,2,0.7675540833333334
Lab1,22,Sharks,3,19-25,Female,Chinese,TRUE,7,4,6,1,3.5,0.9300738333333332
Lab1,22,Zebra2,4,19-25,Female,Chinese,TRUE,7,3.6666666666666665,8,1,4,1
Lab1,22,Skyline,5,19-25,Female,Chinese,TRUE,7,3,3,1,1,0.7038131666666667
Lab1,23,Hyena1,1,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,3,2,5,1,1,1
Lab1,23,Cows,2,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,2,2,5,1,1,1
Lab1,23,Rhino2,3,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,2,2,7,1,1,0.7401281666666666
Lab1,23,Rapunzel,4,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,5,1.6666666666666667,3,1,3,0.11441972222222231
Lab1,23,TrainStation,5,19-25,Male,"White, Caucasian, Non Hispanic",TRUE,3,2,5,1,1,0.9818558333333333
Lab1,24,Baboon3,1,25-45,Male,"White, Caucasian, Non Hispanic",TRUE,6,3.6666666666666665,7,1,4.5,0.4786668055555555
Lab1,24,HotelBalcony,2,25-45,Male,"White, Caucasian, Non Hispanic",TRUE,5,2.3333333333333335,5,1.5,2,0.5540568888888888
Lab1,24,Skateboard,3,25-45,Male,"White, Caucasian, Non Hispanic",TRUE,3,3,5,1,2.5,0.5500285555555555
Lab1,24,Gallery,4,25-45,Male,"White, Caucasian, Non Hispanic",TRUE,1,2.6666666666666665,4,1,1.5,0.6371770555555554
Lab1,24,Horse2,5,25-45,Male,"White, Caucasian, Non Hispanic",TRUE,6,3,6,1,3,0.12901166666666658
Lab1,25,Street1,1,19-25,Female,Hispanic or Latino,TRUE,6,4,7,1.5,5,0.8041137777777777
Lab1,25,Cheetah,2,19-25,Female,Hispanic or Latino,TRUE,5,4,7,1,4.5,0.7229585277777779
Lab1,25,Street2,3,19-25,Female,Hispanic or Latino,TRUE,7,4,8,1,5,0.9974533333333333
Lab1,25,March,4,19-25,Female,Hispanic or Latino,TRUE,6,4.666666666666667,6,1.5,2.5,0.6389151111111109
Lab1,25,HotelBalcony,5,19-25,Female,Hispanic or Latino,TRUE,6,4,6,1.5,2,0.5302180833333333
Lab1,26,Monkey2,1,19-25,Male,Hispanic or Latino,TRUE,8,4.333333333333333,9,1,4,0.8271948611111112
Lab1,26,Waterfall1,2,19-25,Male,Hispanic or Latino,TRUE,6,4,7,2,3,1
Lab1,26,Street2,3,19-25,Male,Hispanic or Latino,TRUE,6,4,6,2,3,0.8306251833333335
Lab1,26,Zebra2,4,19-25,Male,Hispanic or Latino,TRUE,9,5,9,2,5,0.5231818055555555
Lab1,26,HotelBalcony,5,19-25,Male,Hispanic or Latino,TRUE,7,4,7,2,4,0.9459263888888888
Lab1,27,Concert2,1,19-25,Male,"African American, Black",TRUE,5,3.3333333333333335,6,1.5,3,0.523971388888889
Lab1,27,Classroom,2,19-25,Male,"African American, Black",TRUE,4,2.3333333333333335,6,1,1.5,0.7480083333333332
Lab1,27,Dancing,3,19-25,Male,"African American, Black",TRUE,3,2.6666666666666665,5,1,2,0.5394467222222222
Lab1,27,Monkey2,4,19-25,Male,"African American, Black",TRUE,3,1.6666666666666667,7,1,1.5,0.5482836944444446
Lab1,27,Baboon1,5,19-25,Male,"African American, Black",TRUE,7,3.6666666666666665,6,1,3.5,0.3538866666666666
Lab1,28,HotelBalcony,1,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,7,4,6,1,3.5,0.3635597222222222
Lab1,28,Street1,2,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,3,4.333333333333333,5,1,3,0.9980388888888888
Lab1,28,Canyon,3,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,6,4.333333333333333,7,1,3.5,0.9795416666666666
Lab1,28,Rhino1,4,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,9,4.333333333333333,9,1,4.5,0.4296047222222222
Lab1,28,Baboon3,5,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,7,4.333333333333333,9,1,3.5,0.6300931083333334
Lab1,32,Waterfall1,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,4,3.3333333333333335,8,1,5,0.8657338888888889
Lab1,32,Waterfall3,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,4,9,1,5,0.9960208333333334
Lab1,32,Lobby,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,3,2.3333333333333335,6,1,3.5,0.6287208333333334
Lab1,32,Zebra1,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,4.666666666666667,9,1,5,0.7074617055555555
Lab1,32,Beach,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,2.6666666666666665,5,1,3,0.7139611111111114
Lab1,35,Dancing,1,45+,Female,"White, Caucasian, Non Hispanic",TRUE,7,3.3333333333333335,7,1,3.5,0.27869194444444434
Lab1,35,Meeting,2,45+,Female,"White, Caucasian, Non Hispanic",TRUE,5,4,5,1,2,0.6526589166666666
Lab1,35,Cows,3,45+,Female,"White, Caucasian, Non Hispanic",TRUE,8,3.6666666666666665,7,1,4,0.7560641944444444
Lab1,35,Porch,4,45+,Female,"White, Caucasian, Non Hispanic",TRUE,6,3.3333333333333335,7,1,3,0.6939276388888889
Lab1,35,TrainStation,5,45+,Female,"White, Caucasian, Non Hispanic",TRUE,5,3.6666666666666665,5,1,2.5,0.6698830833333332
Lab1,36,Dancing,1,45+,Female,"White, Caucasian, Non Hispanic",FALSE,2,1,7,1,2,0.048077222222222264
Lab1,36,Bees,2,45+,Female,"White, Caucasian, Non Hispanic",FALSE,4,3,7,1.5,2.5,0.4223740555555555
Lab1,36,TrainStation,3,45+,Female,"White, Caucasian, Non Hispanic",FALSE,6,4,5,2.5,2,0.8631146111111112
Lab1,36,Baboon2,4,45+,Female,"White, Caucasian, Non Hispanic",FALSE,6,4,5,1.5,3,0.7750525722222222
Lab1,36,Street1,5,45+,Female,"White, Caucasian, Non Hispanic",FALSE,5,4,5,1.5,3,0.9495288055555555
Lab1,37,Elephant4,1,45+,Male,"White, Caucasian, Non Hispanic",FALSE,5,3.6666666666666665,8,1,4,0.5928980555555554
Lab1,37,Concert2,2,45+,Male,"White, Caucasian, Non Hispanic",FALSE,5,3,5,1,1.5,0.4448849999999999
Lab1,37,Chickens,3,45+,Male,"White, Caucasian, Non Hispanic",FALSE,5,2.6666666666666665,5,1,2.5,0.5088697222222222
Lab1,37,Porch,4,45+,Male,"White, Caucasian, Non Hispanic",FALSE,5,3.6666666666666665,5,1,2,0.6944897222222223
Lab1,37,Hyena2,5,45+,Male,"White, Caucasian, Non Hispanic",FALSE,6,5,7,1,4.5,0.44982111111111095
Lab1,39,Baboon3,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,5,3,9,1,4,0.35007416666666663
Lab1,39,Sunset,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,5,9,1,5,1
Lab1,39,River,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,4,8,1,4,0.7816850000000002
Lab1,39,HotelBalcony,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4,4,2.5,1.5,0.5597059999999998
Lab1,39,Waterfall1,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,4.666666666666667,9,1,5,1
Lab1,46,Forest,1,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,7,3.6666666666666665,8,2,4,0.6865853333333334
Lab1,46,Skateboard,2,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,7,2,7,1,2,0.8584106111111112
Lab1,46,Street1,3,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,6,2.6666666666666665,6,1.5,3,0.7426205555555555
Lab1,46,Rhino1,4,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,8,4,8,1,5,0.884411388888889
Lab1,46,Dancing,5,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,5,2,5,1,2,0.8327702777777776
Lab1,47,Lioness2,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,3,1.6666666666666667,5,1,1,0.3950258333333332
Lab1,47,Dancing,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,5,3,1,1,1,0.5145753888888888
Lab1,47,Monkey2,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,5,1.6666666666666667,7,1,1,0.4026830555555555
Lab1,47,Skateboard,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,1,2,1,1,0.23942805555555552
Lab1,47,Street1,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,1,3,1,1,0.30877888888888866
Lab1,48,Concert1,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,4,2.6666666666666665,5,1,1,0.5637508333333332
Lab1,48,Lioness2,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,3.6666666666666665,7,1,3.5,0.2657019444444444
Lab1,48,Meeting,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4,7,1,3.5,0.9954997222222222
Lab1,48,Monkey1,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,3.3333333333333335,7,1,4,0.7751313888888891
Lab1,48,Lobby,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,3.6666666666666665,8,1,4,0.9691497222222223
Lab1,49,Pond,1,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,2,3.3333333333333335,7,1,4,0.5568977777777778
Lab1,49,Elephant1,2,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,3,3.3333333333333335,7,1,4,0.33546750000000014
Lab1,49,Rapunzel,3,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,4,3.3333333333333335,4,1,3,0.40790075
Lab1,49,Dancing,4,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,1,4,6,1,4.5,0.2640869444444445
Lab1,49,Street1,5,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,4,4,6,1,4,0.23954888888888892
Lab1,50,Elephant3,1,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,5,4.333333333333333,7,1.5,5,0.7765449722222224
Lab1,50,Street2,2,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,7,3.6666666666666665,7,1,5,0.9345026944444443
Lab1,50,Skyline,3,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,8,4.666666666666667,8,1,4,0.7926661944444444
Lab1,50,Skateboard,4,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,8,5,8,1,4.5,0.7898937777777778
Lab1,50,HotelBalcony,5,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,5,4.666666666666667,2,4,1.5,0.10379638888888884
Lab1,51,Baboon2,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,3,5,9,1,5,0.8414158333333331
Lab1,51,Hyena1,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,4.666666666666667,9,1,5,0.9875035277777778
Lab1,51,TrainStation,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,4,7,1,4.5,0.7527636805555555
Lab1,51,Conference,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,5,7,1,5,0.9033346055555557
Lab1,51,Giraffe1,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,5,9,1,5,0.6832395666666666
Lab1,55,Gallery,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,5,3.6666666666666665,7,1,3.5,0.9546108916666667
Lab1,55,Hyena1,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,9,4,6,1,4,1
Lab1,55,Cheetah,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,9,4,9,1,4,0.26761805555555535
Lab1,55,Birds,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,9,4.333333333333333,9,1,4,0.7624406944444445
Lab1,55,River,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,9,4.333333333333333,9,1,4,0.6207918888888889
Lab1,56,Welder,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4,5,1,2,1
Lab1,56,Concert1,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,2,6,1,3.5,0.8519238888888889
Lab1,56,Elephant4,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,5,2.6666666666666665,5,1,1.5,0.8378611111111107
Lab1,56,Elephant2,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,2.3333333333333335,7,1,4.5,0.6005946388888888
Lab1,56,HotelBalcony,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,3,2,3,4,1,0.6147361111111111
Lab1,57,Porch,1,19-25,Female,Hispanic or Latino,TRUE,5,2.6666666666666665,6,1,2,0.9496886666666667
Lab1,57,Horse1,2,19-25,Female,Hispanic or Latino,TRUE,5,3.3333333333333335,8,1,3,0.8654811388888888
Lab1,57,Elephant2,3,19-25,Female,Hispanic or Latino,TRUE,7,4,8,1,4,0.7159044158333333
Lab1,57,Classroom,4,19-25,Female,Hispanic or Latino,TRUE,7,3.6666666666666665,7,1,4,0.7961916388888887
Lab1,57,Zoo1,5,19-25,Female,Hispanic or Latino,TRUE,6,3.6666666666666665,7,1,3.5,0.6630851111111111
Lab1,59,Concert2,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,4,3.3333333333333335,7,1,4.5,0.369756611111111
Lab1,59,Giraffe1,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,5,5,1,5,0.2862930277777777
Lab1,59,Baboon2,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,5,4,1,3.5,1
Lab1,59,Classroom,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,4.666666666666667,7,1,3.5,0.6983440555555556
Lab1,59,Birds,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,4,6,1,3.5,0.8300158055555554
Lab1,60,Concert1,1,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,3,2.6666666666666665,8,1,3,0.6315125
Lab1,60,Teacher,2,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,5,3.3333333333333335,8,1,3,1
Lab1,60,Waterfall1,3,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,3,2.6666666666666665,5,1,2.5,0.9159017222222221
Lab1,60,Classroom,4,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,5,2.6666666666666665,6,1,3,0.8700570277777778
Lab1,60,March,5,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,3,2.3333333333333335,4,1,2.5,0.9371111666666666
Lab1,61,Rhino2,1,19-25,Male,Hispanic or Latino,TRUE,6,3.3333333333333335,8,1,3,0.9102153333333334
Lab1,61,Zebra1,2,19-25,Male,Hispanic or Latino,TRUE,8,4,8,1,5,0.866835111111111
Lab1,61,Street2,3,19-25,Male,Hispanic or Latino,TRUE,4,3,5,1,2.5,0.7800033722222223
Lab1,61,Cows,4,19-25,Male,Hispanic or Latino,TRUE,5,3.6666666666666665,6,1,3,1
Lab1,61,Giraffe2,5,19-25,Male,Hispanic or Latino,TRUE,5,3.6666666666666665,6,1,3,0.9078908333333332
Lab1,62,Porch,1,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,9,4,7,1.5,4.5,0.9170766666666667
Lab1,62,Meeting,2,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,4,3.6666666666666665,8,1.5,4,1
Lab1,62,Cheetah,3,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,6,3,6,3.5,3,0.7732819444444443
Lab1,62,Carnival,4,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,7,5,9,1.5,4,1
Lab1,62,TrainStation,5,19-25,Female,"White, Caucasian, Non Hispanic",FALSE,7,3,8,2.5,2.5,1
Lab1,63,Dancing,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,3,2,5,1,1,0.7374066666666665
Lab1,63,Cheetah,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,4,4,1,3.5,0.719606888888889
Lab1,63,Cows,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4.333333333333333,6,1,4,0.7588373555555555
Lab1,63,Leopard,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,4,6,1,3.5,0.8805798611111112
Lab1,63,Welder,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,4,3,5,1,1,0.6772064166666665
Lab1,64,Zebra1,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,4,7,1,3.5,0.5096176666666667
Lab1,64,Dancing,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,3.6666666666666665,8,1,4.5,0.5849774999999998
Lab1,64,Baboon3,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,4,2,1,4,0.8258117222222222
Lab1,64,Baboon2,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,9,4,2,1,3.5,1
Lab1,64,Elephant1,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,9,4,3,1,3.5,0.8059809722222222
Lab1,65,Sharks,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4,5,1.5,3.5,1
Lab1,65,Protest,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,8,4.333333333333333,2,1,1.5,0.9329435555555555
Lab1,65,Carnival,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,7,4,6,1.5,3,0.7978565555555556
Lab1,65,River,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,6,2.6666666666666665,6,1,2.5,0.6483198333333333
Lab1,65,Zebra1,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,9,4.333333333333333,7,1,4.5,0.39241219444444425
Lab1,66,Street2,1,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,4,9,1,4,0.22787055555555552
Lab1,66,Carnival,2,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,2,4,8,1.5,3.5,0.19404666666666656
Lab1,66,Beach,3,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,5,9,1,5,0.5954371111111111
Lab1,66,Elephant3,4,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,5,9,1,5,0.18782083333333333
Lab1,66,Baboon3,5,19-25,Female,"White, Caucasian, Non Hispanic",TRUE,1,5,9,1,5,0.4121019444444444
Lab1,67,Lioness2,1,19-,Female,Chinese,TRUE,5,4.333333333333333,8,1,4,0.5803905555555554
Lab1,67,Leopard,2,19-,Female,Chinese,TRUE,7,3.6666666666666665,7,1,4,0.43718486111111093
Lab1,67,Hyena1,3,19-,Female,Chinese,TRUE,8,4,8,1,4.5,0.0760444444444443
