VideoName,Width,Height,FramerateRatio,FramesPerSecond
Baboon1,4096,2048,30/1,30
Baboon2,4096,2048,30/1,30
Baboon3,4096,2048,30/1,30
Beach,2300,1150,30/1,30
Bees,3840,2160,24000/1001,23.976023976023978
Birds,4096,2048,30/1,30
BusStop,1920,1080,100/1,100
Cafe,2560,1280,30000/1001,29.97002997002997
Cafeteria,2560,1280,30000/1001,29.97002997002997
Campus,1920,1080,25/1,25
Canyon,2304,1152,30/1,30
Carnival,2304,1152,30/1,30
Cheetah,4096,2048,30/1,30
Chickens,2560,1280,30000/1001,29.97002997002997
City,1920,1080,100/1,100
Classroom,1920,960,30000/1001,29.97002997002997
Concert1,3840,2160,24000/1001,23.976023976023978
Concert2,2300,1150,30/1,30
Conference,3840,2160,24000/1001,23.976023976023978
Cows,2560,1440,24000/1001,23.976023976023978
Dancing,3840,1920,30000/1001,29.97002997002997
Deer,4096,2048,30/1,30
Elephant1,4096,2048,30/1,30
Elephant2,4096,2048,30/1,30
Elephant3,4096,2048,30/1,30
Elephant4,4096,2048,30/1,30
Football,4096,2048,60/1,60
Forest,4096,2048,30/1,30
Gallery,2300,1150,30/1,30
Giraffe1,4096,2048,30/1,30
Giraffe2,4096,2048,30/1,30
Horse1,3840,2160,24000/1001,23.976023976023978
Horse2,3840,2160,24000/1001,23.976023976023978
HotelBalcony,3840,1920,30000/1001,29.97002997002997
Hyena1,4096,2048,30/1,30
Hyena2,4096,2048,30/1,30
Kelp,1920,1080,60000/1001,59.94005994005994
Lemur1,2560,1280,30000/1001,29.97002997002997
Lemur2,2560,1280,30000/1001,29.97002997002997
Lemur3,2560,1280,30000/1001,29.97002997002997
Leopard,4096,2048,30/1,30
Library,2560,1280,30000/1001,29.97002997002997
Lioness1,4096,2048,30/1,30
Lioness2,4096,2048,30/1,30
Lobby,3840,1920,30000/1001,29.97002997002997
March,3840,1920,30000/1001,29.97002997002997
Meeting,4096,2048,30/1,30
Monkey1,4096,2048,30/1,30
Monkey2,4096,2048,30/1,30
MonkeyCage,1920,1080,100/1,100
Museum,1920,1080,120/1,120
Pond,4096,2048,30/1,30
Porch,3840,1920,30000/1001,29.97002997002997
Protest,3840,1920,30000/1001,29.97002997002997
Rapunzel,4096,2048,2997/100,29.97
Reef1,4096,2048,30000/1001,29.97002997002997
Reef2,4096,2048,30000/1001,29.97002997002997
Reef3,4096,2048,30000/1001,29.97002997002997
Reef4,4096,2048,30000/1001,29.97002997002997
Rhino1,4096,2048,30/1,30
Rhino2,4096,2048,30/1,30
Rhino3,4096,2048,30/1,30
River,4096,2048,30/1,30
Rocks,2560,1280,30000/1001,29.97002997002997
Sharks,2300,1150,30/1,30
Skateboard,2304,1152,30/1,30
Skyline,4096,2048,30/1,30
Street1,3840,1920,30000/1001,29.97002997002997
Street2,3840,1920,30000/1001,29.97002997002997
Sunset,4096,2048,30/1,30
Teacher,1920,960,30000/1001,29.97002997002997
TrainStation,2300,1150,30/1,30
Waterfall1,4096,2048,30/1,30
Waterfall2,4096,2048,30/1,30
Waterfall3,4096,2048,30/1,30
Welder,3840,2160,24000/1001,23.976023976023978
Zebra1,4096,2048,30/1,30
Zebra2,4096,2048,30/1,30
Zoo1,2300,1150,30/1,30
Zoo2,1920,960,2997/100,29.97
