VideoName,Width,Height,FramerateRatio
Baboon1,4096,2048,30/1
Baboon2,4096,2048,30/1
Baboon3,4096,2048,30/1
Beach,2300,1150,30/1
Bees,3840,2160,24000/1001
Birds,4096,2048,30/1
BusStop,1920,1080,100/1
Cafe,2560,1280,30000/1001
Cafeteria,2560,1280,30000/1001
Campus,1920,1080,25/1
Canyon,2304,1152,30/1
Carnival,2304,1152,30/1
Cheetah,4096,2048,30/1
Chickens,2560,1280,30000/1001
City,1920,1080,100/1
Classroom,1920,960,30000/1001
Concert1,3840,2160,24000/1001
Concert2,2300,1150,30/1
Conference,3840,2160,24000/1001
Cows,2560,1440,24000/1001
Dancing,3840,1920,30000/1001
Deer,4096,2048,30/1
Elephant1,4096,2048,30/1
Elephant2,4096,2048,30/1
Elephant3,4096,2048,30/1
Elephant4,4096,2048,30/1
Football,4096,2048,60/1
Forest,4096,2048,30/1
Gallery,2300,1150,30/1
Giraffe1,4096,2048,30/1
Giraffe2,4096,2048,30/1
Horse1,3840,2160,24000/1001
Horse2,3840,2160,24000/1001
HotelBalcony,3840,1920,30000/1001
Hyena1,4096,2048,30/1
Hyena2,4096,2048,30/1
Kelp,1920,1080,60000/1001
Lemur1,2560,1280,30000/1001
Lemur2,2560,1280,30000/1001
Lemur3,2560,1280,30000/1001
Leopard,4096,2048,30/1
Library,2560,1280,30000/1001
Lioness1,4096,2048,30/1
Lioness2,4096,2048,30/1
Lobby,3840,1920,30000/1001
March,3840,1920,30000/1001
Meeting,4096,2048,30/1
Monkey1,4096,2048,30/1
Monkey2,4096,2048,30/1
MonkeyCage,1920,1080,100/1
Museum,1920,1080,120/1
Pond,4096,2048,30/1
Porch,3840,1920,30000/1001
Protest,3840,1920,30000/1001
Rapunzel,4096,2048,2997/100
Reef1,4096,2048,30000/1001
Reef2,4096,2048,30000/1001
Reef3,4096,2048,30000/1001
Reef4,4096,2048,30000/1001
Rhino1,4096,2048,30/1
Rhino2,4096,2048,30/1
Rhino3,4096,2048,30/1
River,4096,2048,30/1
Rocks,2560,1280,30000/1001
Sharks,2300,1150,30/1
Skateboard,2304,1152,30/1
Skyline,4096,2048,30/1
Street1,3840,1920,30000/1001
Street2,3840,1920,30000/1001
Sunset,4096,2048,30/1
Teacher,1920,960,30000/1001
TrainStation,2300,1150,30/1
Waterfall1,4096,2048,30/1
Waterfall2,4096,2048,30/1
Waterfall3,4096,2048,30/1
Welder,3840,2160,24000/1001
Zebra1,4096,2048,30/1
Zebra2,4096,2048,30/1
Zoo1,2300,1150,30/1
Zoo2,1920,960,2997/100
